iter	Logloss
0	0.5930671464
1	0.518536428
2	0.4487039008
3	0.4258910925
4	0.4087708385
5	0.3882411119
6	0.3814613979
7	0.3737483682
8	0.3655271862
9	0.353824638
10	0.3480546581
11	0.3364910084
12	0.3238219807
13	0.3201879417
14	0.3182142746
15	0.3171626363
16	0.3120193899
17	0.3109347
18	0.3096302302
19	0.3030499341
20	0.3018979511
21	0.2967762127
22	0.2964280104
23	0.296107785
24	0.2957086978
25	0.2952762156
26	0.2939295957
27	0.2936337049
28	0.2932452707
29	0.2929458855
30	0.2926520051
31	0.2922368439
32	0.2921037017
33	0.291911346
34	0.2917388167
35	0.2907298794
36	0.2899689072
37	0.2898032408
38	0.2895368393
39	0.2893387706
40	0.2890945882
41	0.2863270337
42	0.2857107408
43	0.2856209957
44	0.2854679442
45	0.2852827857
46	0.2847096806
47	0.2845702268
48	0.2841390438
49	0.2837879053
50	0.2836317684
51	0.2834962474
52	0.2833507813
53	0.2829819101
54	0.2828418028
55	0.2826699365
56	0.2823959441
57	0.2821465405
58	0.2819879798
59	0.2804286526
60	0.2773278244
61	0.2771081774
62	0.2770357282
63	0.2768208714
64	0.276535453
65	0.2746001285
66	0.2744528484
67	0.2742591766
68	0.2740542205
69	0.2737410864
70	0.2736162752
71	0.2733229027
72	0.273060319
73	0.2729352668
74	0.271894838
75	0.2717373041
76	0.2715084233
77	0.2712210691
78	0.2710121861
79	0.2707189266
80	0.2705528235
81	0.2703940479
82	0.2701814881
83	0.2686937083
84	0.2684580636
85	0.2683047469
86	0.2682032801
87	0.268100601
88	0.2680594656
89	0.2678786451
90	0.2671787601
91	0.2670623351
92	0.2669874967
93	0.2668071899
94	0.26655897
95	0.2664077313
96	0.2662180765
97	0.2653558826
98	0.2645991495
99	0.2644991881
100	0.2635083664
101	0.2633341606
102	0.2631382363
103	0.2629581164
104	0.2619536766
105	0.2617761357
106	0.2616760005
107	0.2614694667
108	0.261283238
109	0.2611353087
110	0.2609546163
111	0.2608462189
112	0.2607031635
113	0.2605609575
114	0.2604728433
115	0.2603220109
116	0.260086263
117	0.2600343426
118	0.2599409319
119	0.2594132576
120	0.2592264697
121	0.2590760628
122	0.2588954952
123	0.2587254489
124	0.258629176
125	0.2581927247
126	0.2580804744
127	0.257928404
128	0.2577927577
129	0.2577441012
130	0.2575720308
131	0.2574722921
132	0.2573099049
133	0.2572045837
134	0.2570099029
135	0.2568977764
136	0.2568140819
137	0.2566574506
138	0.2565387803
139	0.256373767
140	0.2563256475
141	0.2561763768
142	0.2561093639
143	0.2558428846
144	0.2558124137
145	0.2556667053
146	0.2554631069
147	0.2553824285
148	0.2552289615
149	0.2551352402
150	0.2548520432
151	0.2544977091
152	0.2542949946
153	0.254160969
154	0.2540458797
155	0.2539650939
156	0.253842683
157	0.2537095345
158	0.2535809223
159	0.2534581259
160	0.25329568
161	0.253258155
162	0.2531111195
163	0.2525704677
164	0.2524444066
165	0.2523299337
166	0.252158071
167	0.2519865193
168	0.2519259113
169	0.2518855724
170	0.2514375096
171	0.2512831188
172	0.2511487901
173	0.2511076225
174	0.2509940856
175	0.2508609537
176	0.2507030689
177	0.2506668424
178	0.2505964111
179	0.2504928288
180	0.2504547111
181	0.2502842822
182	0.2501885804
183	0.2500553473
184	0.2499851945
185	0.2499209057
186	0.2498389369
187	0.2497277777
188	0.2496680375
189	0.2495352773
190	0.2494672466
191	0.2487712194
192	0.2485729217
193	0.2485111945
194	0.2484101852
195	0.2481610989
196	0.2480009743
197	0.2479293116
198	0.2478566628
199	0.2476389524
200	0.2475423359
201	0.2474969095
202	0.2473817003
203	0.2473431699
204	0.2473020111
205	0.2472598861
206	0.247125538
207	0.2470081301
208	0.2467831968
209	0.24668525
210	0.2466106695
211	0.2463706301
212	0.2462559475
213	0.2461953686
214	0.2460562096
215	0.2460078095
216	0.2459850005
217	0.245880602
218	0.245805157
219	0.2457311427
220	0.2456589692
221	0.2454866734
222	0.2453588386
223	0.2446445947
224	0.2444871768
225	0.2443424103
226	0.2442747546
227	0.2441927646
228	0.2441081292
229	0.2440429643
230	0.2439122295
231	0.2438037309
232	0.2436565363
233	0.2436058498
234	0.2435024778
235	0.243440005
236	0.2433681753
237	0.2432876085
238	0.2432384862
239	0.243151277
240	0.2430612573
241	0.2429466014
242	0.2428969309
243	0.2428349896
244	0.2427460615
245	0.2426155268
246	0.2425091766
247	0.2424710309
248	0.2423837211
249	0.2422983798
250	0.2421901139
251	0.2421217698
252	0.2420860181
253	0.2419801706
254	0.2418847201
255	0.2418108469
256	0.2417235217
257	0.2415931869
258	0.2415662132
259	0.2414492225
260	0.2413717101
261	0.2412715688
