iter	Passed	Remaining
0	36	17941
1	72	17890
2	102	16781
3	126	15466
4	148	14516
5	168	13674
6	188	13093
7	208	12652
8	232	12523
9	253	12277
10	273	12001
11	296	11897
12	315	11666
13	334	11476
14	351	11223
15	370	11059
16	387	10876
17	409	10825
18	425	10627
19	444	10524
20	464	10465
21	483	10373
22	507	10392
23	531	10406
24	556	10446
25	578	10407
26	601	10407
27	629	10474
28	650	10423
29	671	10378
30	700	10466
31	726	10483
32	753	10531
33	771	10441
34	791	10381
35	817	10395
36	836	10326
37	858	10303
38	877	10239
39	897	10186
40	920	10175
41	958	10311
42	978	10263
43	1003	10259
44	1026	10237
45	1050	10235
46	1075	10233
47	1106	10279
48	1148	10432
49	1175	10441
50	1197	10404
51	1219	10369
52	1242	10336
53	1258	10256
54	1278	10205
55	1299	10163
56	1320	10127
57	1336	10049
58	1355	9996
59	1372	9925
60	1387	9852
61	1402	9774
62	1417	9696
63	1432	9627
64	1448	9558
65	1463	9491
66	1478	9424
67	1496	9376
68	1511	9311
69	1529	9265
70	1544	9203
71	1560	9147
72	1580	9115
73	1602	9092
74	1627	9090
75	1657	9116
76	1688	9141
77	1719	9170
78	1754	9214
79	1783	9229
80	1808	9219
81	1830	9195
82	1857	9199
83	1875	9152
84	1892	9104
85	1911	9068
86	1931	9034
87	1946	8980
88	1963	8933
89	1979	8884
90	1995	8838
91	2012	8794
92	2027	8741
93	2043	8695
94	2059	8648
95	2075	8605
96	2090	8555
97	2107	8517
98	2124	8474
99	2138	8427
100	2153	8380
101	2168	8333
102	2182	8286
103	2197	8241
104	2214	8203
105	2230	8164
106	2248	8130
107	2262	8086
108	2276	8041
109	2294	8010
110	2309	7970
111	2324	7928
112	2340	7890
113	2354	7849
114	2369	7807
115	2381	7758
116	2394	7714
117	2408	7674
118	2422	7634
119	2434	7588
120	2449	7549
121	2464	7514
122	2478	7476
123	2493	7439
124	2507	7401
125	2526	7378
126	2548	7364
127	2563	7328
128	2577	7292
129	2591	7256
130	2605	7221
131	2621	7187
132	2637	7158
133	2652	7127
134	2667	7093
135	2681	7058
136	2695	7025
137	2710	6993
138	2725	6960
139	2739	6927
140	2753	6894
141	2773	6875
142	2787	6842
143	2801	6808
144	2815	6776
145	2830	6747
146	2845	6717
147	2860	6686
148	2874	6656
149	2889	6625
150	2903	6595
151	2917	6565
152	2930	6531
153	2945	6501
154	2959	6473
155	2975	6446
156	2989	6417
157	3004	6390
158	3019	6361
159	3034	6334
160	3045	6299
161	3059	6270
162	3074	6242
163	3088	6215
164	3103	6187
165	3117	6159
166	3133	6136
167	3148	6110
168	3163	6084
169	3178	6058
170	3192	6030
171	3206	6003
172	3221	5977
173	3236	5951
174	3250	5924
175	3264	5898
176	3278	5872
177	3293	5846
178	3307	5820
179	3321	5794
180	3336	5769
181	3350	5743
182	3366	5720
183	3380	5695
184	3395	5671
185	3410	5646
186	3424	5621
187	3439	5597
188	3455	5575
189	3471	5554
190	3486	5531
191	3505	5513
192	3521	5492
193	3536	5468
194	3553	5448
195	3565	5420
196	3580	5397
197	3594	5373
198	3608	5349
199	3623	5325
200	3639	5305
201	3654	5282
202	3668	5258
203	3682	5235
204	3697	5212
205	3711	5189
206	3727	5167
207	3741	5144
208	3756	5122
209	3770	5099
210	3785	5076
211	3799	5054
212	3814	5031
213	3830	5012
214	3845	4990
215	3859	4967
216	3874	4945
217	3888	4923
218	3903	4902
219	3919	4881
220	3934	4860
221	3949	4838
222	3963	4816
223	3978	4795
224	3993	4773
225	4007	4752
226	4022	4731
227	4036	4709
228	4051	4688
229	4065	4666
230	4079	4645
231	4093	4622
232	4109	4602
233	4123	4581
234	4137	4560
235	4152	4539
236	4169	4520
237	4183	4500
238	4197	4478
239	4212	4458
240	4228	4439
241	4246	4421
242	4260	4400
243	4275	4380
244	4290	4360
245	4305	4340
246	4320	4320
247	4334	4299
248	4349	4279
249	4363	4259
250	4378	4238
251	4392	4218
252	4407	4198
253	4421	4178
254	4436	4157
255	4451	4138
256	4470	4122
257	4487	4104
258	4502	4085
259	4520	4068
260	4534	4048
261	4553	4031
262	4567	4012
263	4585	3994
264	4608	3982
265	4627	3966
266	4645	3949
